window,soh,window_efc,cumulative_efc,degradation_cost_usd,cumulative_wear_cost_usd
230,0.988153,0.543,124.89,725.02,166754.6
231,0.988102,0.543,125.43,725.02,167479.62
232,0.98805,0.543,125.98,725.02,168204.64
233,0.987999,0.543,126.52,725.02,168929.66
234,0.987947,0.543,127.06,725.02,169654.68
235,0.987896,0.543,127.61,725.02,170379.7
236,0.987844,0.543,128.15,725.02,171104.72
237,0.987793,0.543,128.69,725.02,171829.74
238,0.987741,0.543,129.23,725.02,172554.76
239,0.98769,0.543,129.78,725.02,173279.78
240,0.987638,0.543,130.32,725.02,174004.8
241,0.987587,0.543,130.86,725.02,174729.82
242,0.987535,0.543,131.41,725.02,175454.84
243,0.987484,0.543,131.95,725.02,176179.86
244,0.987432,0.543,132.49,725.02,176904.88
245,0.987381,0.543,133.04,725.02,177629.9
246,0.987329,0.543,133.58,725.02,178354.92
247,0.987278,0.543,134.12,725.02,179079.94
248,0.987226,0.543,134.66,725.02,179804.96
249,0.987175,0.543,135.21,725.02,180529.98
250,0.987123,0.543,135.75,725.02,181255.0
251,0.987072,0.543,136.29,725.02,181980.02
252,0.98702,0.543,136.84,725.02,182705.04
253,0.986969,0.543,137.38,725.02,183430.06
254,0.986917,0.543,137.92,725.02,184155.08
255,0.986866,0.543,138.47,725.02,184880.1
256,0.986814,0.543,139.01,725.02,185605.12
257,0.986763,0.543,139.55,725.02,186330.14
258,0.986711,0.543,140.09,725.02,187055.16
259,0.98666,0.543,140.64,725.02,187780.18
260,0.986608,0.543,141.18,725.02,188505.2
261,0.986557,0.543,141.72,725.02,189230.22
262,0.986505,0.543,142.27,725.02,189955.24
263,0.986454,0.543,142.81,725.02,190680.26
264,0.986402,0.543,143.35,725.02,191405.28
265,0.986351,0.543,143.9,725.02,192130.3
266,0.986299,0.543,144.44,725.02,192855.32
267,0.986248,0.543,144.98,725.02,193580.34
268,0.986196,0.543,145.52,725.02,194305.36
269,0.986145,0.543,146.07,725.02,195030.38
270,0.986093,0.543,146.61,725.02,195755.4
271,0.986042,0.543,147.15,725.02,196480.42
272,0.98599,0.543,147.7,725.02,197205.44
273,0.985939,0.543,148.24,725.02,197930.46
274,0.985887,0.543,148.78,725.02,198655.48
275,0.985836,0.543,149.33,725.02,199380.5
276,0.985784,0.543,149.87,725.02,200105.52
277,0.985733,0.543,150.41,725.02,200830.54
278,0.985681,0.543,150.95,725.02,201555.56
279,0.98563,0.543,151.5,725.02,202280.58
280,0.985578,0.543,152.04,725.02,203005.6
281,0.985527,0.543,152.58,725.02,203730.62
282,0.985475,0.543,153.13,725.02,204455.64
283,0.985424,0.543,153.67,725.02,205180.66
284,0.985372,0.543,154.21,725.02,205905.68
285,0.985321,0.543,154.76,725.02,206630.7
286,0.985269,0.543,155.3,725.02,207355.72
287,0.985218,0.543,155.84,725.02,208080.74
288,0.985166,0.543,156.38,725.02,208805.76
289,0.985115,0.543,156.93,725.02,209530.78
290,0.985063,0.543,157.47,725.02,210255.8
291,0.985012,0.543,158.01,725.02,210980.82
292,0.98496,0.543,158.56,725.02,211705.84
293,0.984908,0.543,159.1,725.02,212430.86
294,0.984857,0.543,159.64,725.02,213155.88
295,0.984805,0.543,160.19,725.02,213880.9
296,0.984754,0.543,160.73,725.02,214605.92
297,0.984702,0.543,161.27,725.02,215330.94
298,0.984651,0.543,161.81,725.02,216055.96
299,0.984599,0.543,162.36,725.02,216780.98
300,0.984548,0.543,162.9,725.02,217506.0
301,0.984496,0.543,163.44,725.02,218231.02
302,0.984445,0.543,163.99,725.02,218956.04
303,0.984393,0.543,164.53,725.02,219681.06
304,0.984342,0.543,165.07,725.02,220406.08
305,0.98429,0.543,165.62,725.02,221131.1
306,0.984239,0.543,166.16,725.02,221856.12
307,0.984187,0.543,166.7,725.02,222581.14
308,0.984136,0.543,167.24,725.02,223306.16
309,0.984084,0.543,167.79,725.02,224031.18
310,0.984033,0.543,168.33,725.02,224756.2
311,0.983981,0.543,168.87,725.02,225481.22
312,0.98393,0.543,169.42,725.02,226206.24
313,0.983878,0.543,169.96,725.02,226931.26
314,0.983827,0.543,170.5,725.02,227656.28
315,0.983775,0.543,171.05,725.02,228381.3
316,0.983724,0.543,171.59,725.02,229106.32
317,0.983672,0.543,172.13,725.02,229831.34
318,0.983621,0.543,172.67,725.02,230556.36
319,0.983569,0.543,173.22,725.02,231281.38
320,0.983518,0.543,173.76,725.02,232006.4
321,0.983466,0.543,174.3,725.02,232731.42
322,0.983415,0.543,174.85,725.02,233456.44
323,0.983363,0.543,175.39,725.02,234181.46
324,0.983312,0.543,175.93,725.02,234906.48
325,0.98326,0.543,176.48,725.02,235631.5
326,0.983209,0.543,177.02,725.02,236356.52
327,0.983157,0.543,177.56,725.02,237081.54
328,0.983106,0.543,178.1,725.02,237806.56
329,0.983054,0.543,178.65,725.02,238531.58
330,0.983003,0.543,179.19,725.02,239256.6
331,0.982951,0.543,179.73,725.02,239981.62
332,0.9829,0.543,180.28,725.02,240706.64
333,0.982848,0.543,180.82,725.02,241431.66
334,0.982797,0.543,181.36,725.02,242156.68
335,0.982745,0.543,181.91,725.02,242881.7
336,0.982694,0.543,182.45,725.02,243606.72
337,0.982642,0.543,182.99,725.02,244331.74
338,0.982591,0.543,183.53,725.02,245056.76
339,0.982539,0.543,184.08,725.02,245781.78
340,0.982488,0.543,184.62,725.02,246506.8
341,0.982436,0.543,185.16,725.02,247231.82
342,0.982385,0.543,185.71,725.02,247956.84
343,0.982333,0.543,186.25,725.02,248681.86
344,0.982282,0.543,186.79,725.02,249406.88
345,0.98223,0.543,187.34,725.02,250131.9
346,0.982179,0.543,187.88,725.02,250856.92
347,0.982127,0.543,188.42,725.02,251581.94
348,0.982076,0.543,188.96,725.02,252306.96
349,0.982024,0.543,189.51,725.02,253031.98
350,0.981973,0.543,190.05,725.02,253757.0
351,0.981921,0.543,190.59,725.02,254482.02
352,0.98187,0.543,191.14,725.02,255207.04
353,0.981818,0.543,191.68,725.02,255932.06
354,0.981767,0.543,192.22,725.02,256657.08
355,0.981715,0.543,192.77,725.02,257382.1
356,0.981664,0.543,193.31,725.02,258107.12
357,0.981612,0.543,193.85,725.02,258832.14
358,0.981561,0.543,194.39,725.02,259557.16
